"State","industry","obs","per_USA"
"46","3","2206","0.02373697707767"
"46","4","7938","0.085414380799"
"46","5","3207","0.03450792633187"
"47","1","11727","0.12618473716677"
"47","2","91151","0.98080199347566"
"47","3","17655","0.18997113794487"
"47","4","53679","0.57759618882711"
"47","5","17805","0.19158516630464"
"48","1","41140","0.44267417813944"
"48","2","187512","2.01766457198066"
"48","3","67092","0.7219226047577"
"48","4","204932","2.20510706549522"
"48","5","73799","0.79409119281753"
"49","1","3439","0.03700429019498"
"49","2","20275","0.21816283329551"
"49","3","5556","0.05978361044586"
"49","4","21704","0.23353914346958"
"49","5","10113","0.10881779201565"
"50","1","2438","0.02623334094078"
"50","2","8488","0.09133248478482"
"50","3","1790","0.01926073842658"
"50","4","7239","0.07789300864247"
"50","5","2236","0.02405978274963"
"51","1","11140","0.11986850618554"
"51","2","74323","0.79972953188765"
"51","3","22124","0.23805842287693"
"51","4","82199","0.88447678096462"
"51","5","44041","0.47388948661739"
"53","1","14593","0.15702343902744"
"53","2","62778","0.67550314913073"
"53","3","16058","0.17278711600785"
"53","4","62490","0.67240421467997"
"53","5","24170","0.26007376970419"
"54","1","2360","0.0253940461937"
"54","2","19030","0.20476639790942"
"54","3","4726","0.0508526535218"
"54","4","18062","0.19435053489437"
"54","5","6202","0.06673469258193"
"55","1","27437","0.29522730737997"
"55","2","108228","1.16455374214089"
"55","3","14087","0.15157878336048"
"55","4","54590","0.58739872106544"
"55","5","15115","0.16264025771944"
"56","1","2511","0.02701883474254"
"56","2","2276","0.02449019031223"
"56","3","1537","0.0165384105931"
"56","4","5088","0.05474784196338"
"56","5","2588","0.02784736930055"
