"State","obs","perc_job/ind","ind"
"5","7848","0.71702074590988","5"
"6","122208","11.165350575453","5"
"8","17807","1.62690983975755","5"
"9","11283","1.03085436749505","5"
"10","3302","0.30168227612059","5"
"11","37181","3.39698628359778","5"
"12","56328","5.14632321299846","5"
"13","33882","3.09557809797639","5"
"15","9551","0.87261278595633","5"
"16","4706","0.42995662974667","5"
"17","40735","3.72169216165126","5"
"18","16559","1.51288819208993","5"
"19","8028","0.73346617586194","5"
"20","11048","1.00938394505764","5"
"21","14363","1.31225394667477","5"
"22","16848","1.53929224351296","5"
"23","5319","0.48596245508341","5"
"24","37577","3.43316622949232","5"
"25","25672","2.34548376516291","5"
"26","28448","2.59910884042359","5"
"27","14323","1.30859940668543","5"
"28","9855","0.90038728987537","5"
"29","21504","1.96468069827295","5"
"30","4289","0.39185805035773","5"
"31","6482","0.59221820527368","5"
"32","6769","0.61843952969724","5"
"33","3816","0.3486431149837","5"
"34","31963","2.92025154198746","5"
"35","10643","0.9723817276655","5"
"36","79100","7.22685282893372","5"
"37","26262","2.39938823000578","5"
"38","2861","0.26139097273804","5"
"39","35948","3.28433508842616","5"
"40","16789","1.53390179702867","5"
"41","11854","1.08302292584298","5"
"42","41229","3.7668257305197","5"
"44","4844","0.44256479270992","5"
"45","14982","1.36880795300992","5"
"46","3207","0.29300274364589","5"
"47","17805","1.62672711275809","5"
"48","73799","6.74253491684551","5"
"49","10113","0.92395907280665","5"
"50","2236","0.20428878540449","5"
"51","44041","4.02373989177079","5"
"53","24170","2.20825578856293","5"
"54","6202","0.56663642534825","5"
"55","15115","1.3809592984745","5"
"56","2588","0.23644873731075","5"
